sku_id,category,subcategory,unit_cost,list_price,total_8w_forecast,avg_weekly_demand,demand_std_weekly,upper_8w_forecast,lower_8w_forecast,date,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_weeks,lead_time_demand,safety_stock,dynamic_reorder_point,available_stock,projected_stockout_units,stockout_risk_score,sales_at_risk_inr,weeks_of_supply,excess_units,overstock_risk_score,capital_locked_inr,quadrant,quadrant_meaning,recommended_action,recommended_reorder_units
NB-FUR-039,Furnishings,Shelving,3598.29,6442.39,24.4,3.05,4.389760813529593,125.4,30.5,2026-03-31,240,88,21,181,3.0,9.1,15.4,24.5,328,0.0,0.0,0.0,78.7,215.6,100.0,775791.32,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-040,Furnishings,Bedding,4550.83,10687.22,6.4,0.8,1.4941552797483937,89.2,23.0,2026-03-31,225,89,21,139,3.0,2.4,7.1,9.5,314,0.0,0.0,0.0,281.2,218.6,100.0,994811.44,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-041,Furnishings,Tables,14661.6,32929.92,222.0,27.75,13.24348896628075,230.0,80.7,2026-03-31,872,149,35,612,5.0,138.8,52.4,191.2,1021,0.0,0.0,0.0,31.4,650.0,100.0,9530040.0,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-042,Furnishings,Rugs,7991.61,15414.87,156.8,19.6,15.492901600410429,182.5,73.3,2026-03-31,722,276,28,491,4.0,78.4,54.3,132.7,998,0.0,0.0,0.0,36.8,565.2,100.0,4516857.97,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-043,Furnishings,Seating,3439.5,7506.95,118.6,14.825,12.56948189067473,144.5,60.0,2026-03-31,690,140,35,488,5.0,74.1,49.9,124.0,830,0.0,0.0,0.0,46.5,571.4,100.0,1965330.3,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-044,Furnishings,Tables,5469.65,11098.08,41.5,5.1875,7.7416790007077925,121.69999999999999,37.1,2026-03-31,261,32,28,279,4.0,20.8,28.8,49.6,293,0.0,0.0,0.0,50.3,219.5,100.0,1200588.17,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-045,Furnishings,Shelving,9670.74,22238.73,55.9,6.9875,8.702648662907173,145.5,34.9,2026-03-31,440,32,28,283,4.0,28.0,31.9,59.9,472,0.0,0.0,0.0,63.0,384.1,100.0,3714531.23,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-046,Furnishings,Bedding,4017.59,8524.18,130.7,16.3375,14.139301388328915,156.2,61.8,2026-03-31,239,128,21,319,3.0,49.0,43.1,92.1,367,0.0,0.0,0.0,14.6,108.3,41.2,435105.0,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-047,Furnishings,Seating,16858.69,38420.22,206.4,25.8,14.321312788986909,206.4,76.5,2026-03-31,517,210,21,367,3.0,77.4,43.7,121.1,727,0.0,0.0,0.0,20.0,310.6,75.0,5236309.11,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-048,Furnishings,Rugs,5813.08,11165.95,165.4,20.675,16.55639982000918,180.1,71.1,2026-03-31,629,288,28,486,4.0,82.7,57.8,140.5,917,0.0,0.0,0.0,30.4,463.6,100.0,2694943.89,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-049,Furnishings,Seating,17772.29,32206.28,187.2,23.4,13.05354358019308,191.79999999999998,74.3,2026-03-31,402,170,21,334,3.0,70.2,40.0,110.2,572,0.0,0.0,0.0,17.2,214.8,57.5,3817487.89,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-050,Furnishings,Shelving,9056.62,21426.64,87.0,10.875,11.01530185696243,161.5,48.4,2026-03-31,354,188,35,492,5.0,54.4,44.2,98.6,542,0.0,0.0,0.0,32.6,267.0,100.0,2418117.54,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-151,Kitchenware,Storage Containers,2365.34,5112.96,6.300000000000001,0.7875000000000001,1.3994976777401242,40.2,7.800000000000001,2026-03-31,358,0,42,118,6.0,4.7,9.7,14.4,358,0.0,0.0,0.0,454.6,351.7,100.0,831890.08,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-152,Kitchenware,Cutlery,3706.8,9116.14,4.1,0.5125,0.7880950133074057,45.1,2.6,2026-03-31,752,0,14,40,2.0,1.0,4.2,5.2,752,0.0,0.0,0.0,1467.3,747.9,100.0,2772315.72,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-153,Kitchenware,Cookware Sets,2643.91,5374.91,7.2,0.9,1.063014581273465,47.1,12.4,2026-03-31,101,0,14,45,2.0,1.8,4.8,6.6,101,0.0,0.0,0.0,112.2,93.8,100.0,247998.76,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-154,Kitchenware,Cutlery,3557.91,7131.13,7.1000000000000005,0.8875000000000001,1.0288798520721456,49.5,14.5,2026-03-31,799,0,42,151,6.0,5.3,8.2,13.5,799,0.0,0.0,0.0,900.3,791.9,100.0,2817508.93,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-155,Kitchenware,Baking Tools,4458.13,8667.96,2.1,0.2625,0.25464435984329203,54.0,17.2,2026-03-31,811,0,42,194,6.0,1.6,5.1,6.7,811,0.0,0.0,0.0,3089.5,808.9,100.0,3606181.36,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-156,Kitchenware,Cookware Sets,4279.88,7987.24,8.7,1.0875,1.425164464193519,44.6,8.9,2026-03-31,722,0,28,77,4.0,4.4,8.0,12.4,722,0.0,0.0,0.0,663.9,713.3,100.0,3052838.4,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-157,Kitchenware,Cookware Sets,959.64,1764.83,7.0,0.875,1.2111461513789323,42.3,8.2,2026-03-31,73,0,14,27,2.0,1.8,5.1,6.9,73,0.0,0.0,0.0,83.4,66.0,100.0,63336.24,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-158,Kitchenware,Storage Containers,2192.12,4767.97,6.6,0.825,1.1734031702701335,46.1,9.7,2026-03-31,972,0,21,81,3.0,2.5,6.2,8.7,972,0.0,0.0,0.0,1178.2,965.4,100.0,2116272.65,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-159,Kitchenware,Dinnerware,3252.55,6710.74,10.3,1.2875,1.1318541204589927,38.1,6.3,2026-03-31,68,0,35,62,5.0,6.4,7.8,14.2,68,0.0,0.0,0.0,52.8,57.7,100.0,187672.14,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-160,Kitchenware,Dinnerware,3608.88,7939.7,10.9,1.3625,1.860737421024256,46.1,8.1,2026-03-31,604,0,28,68,4.0,5.4,9.4,14.8,604,0.0,0.0,0.0,443.3,593.1,100.0,2140426.73,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-161,Kitchenware,Cutlery,2085.58,4454.07,16.9,2.1125,0.8283077628514657,55.699999999999996,3.2,2026-03-31,34,0,21,20,3.0,6.3,5.2,11.5,34,0.0,0.0,0.0,16.1,17.1,50.6,35663.42,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-162,Kitchenware,Dinnerware,3771.85,6627.62,18.9,2.3625,0.4525966747557918,55.8,1.5,2026-03-31,18,0,42,32,6.0,14.2,5.9,20.1,18,0.0,10.4,0.0,7.6,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-163,Kitchenware,Baking Tools,3445.62,7426.57,7.3999999999999995,0.9249999999999999,2.151598243167158,63.6,19.1,2026-03-31,159,0,21,96,3.0,2.8,9.0,11.8,159,0.0,0.0,0.0,171.9,151.6,100.0,522355.99,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-164,Kitchenware,Storage Containers,3192.45,7214.26,2.7,0.3375,0.4357106264483344,49.9,12.3,2026-03-31,996,0,28,113,4.0,1.4,4.7,6.1,996,0.0,0.0,0.0,2951.1,993.3,100.0,3171060.58,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-165,Kitchenware,Baking Tools,2373.94,4188.47,17.5,2.1875,2.5477624987427694,52.1,7.2,2026-03-31,117,0,42,146,6.0,13.1,14.3,27.4,117,0.0,0.0,0.0,53.5,99.5,100.0,236207.03,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-166,Kitchenware,Dinnerware,2835.6,4879.19,8.0,1.0,0.7697402159170327,40.7,7.5,2026-03-31,575,0,21,48,3.0,3.0,5.0,8.0,575,0.0,0.0,0.0,575.0,567.0,100.0,1607785.2,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-167,Kitchenware,Baking Tools,2765.92,4747.97,18.8,2.35,1.0770329614269007,51.0,4.1,2026-03-31,58,0,28,38,4.0,9.4,6.8,16.2,58,0.0,0.0,0.0,24.7,39.2,100.0,108424.06,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-168,Kitchenware,Dinnerware,2720.24,6285.08,11.2,1.4,1.0723805294763609,44.7,4.6000000000000005,2026-03-31,123,0,35,45,5.0,7.0,7.6,14.6,123,0.0,0.0,0.0,87.9,111.8,100.0,304122.83,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-169,Kitchenware,Storage Containers,4147.51,7652.95,11.3,1.4125,1.3280036709286613,44.8,5.3,2026-03-31,352,0,21,35,3.0,4.2,6.6,10.8,352,0.0,0.0,0.0,249.2,340.7,100.0,1413056.66,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-170,Kitchenware,Storage Containers,4370.03,9072.22,12.8,1.6,2.0316249653910043,49.0,10.200000000000001,2026-03-31,451,0,21,60,3.0,4.8,8.6,13.4,451,0.0,0.0,0.0,281.9,438.2,100.0,1914947.15,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-171,Kitchenware,Cookware Sets,3902.48,7663.86,17.3,2.1625,0.34255474015111803,55.7,1.4,2026-03-31,84,0,28,16,4.0,8.6,4.4,13.0,84,0.0,0.0,0.0,38.8,66.7,100.0,260295.42,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-172,Kitchenware,Storage Containers,3716.98,7954.62,14.5,1.8125,0.09270248108869578,54.2,0.2,2026-03-31,20,0,21,11,3.0,5.4,3.1,8.5,20,0.0,0.0,0.0,11.0,5.5,18.8,20443.39,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-173,Kitchenware,Dinnerware,1657.75,4104.83,5.3,0.6625,0.14947825928876748,53.6,0.0,2026-03-31,68,0,35,9,5.0,3.3,4.2,7.5,68,0.0,0.0,0.0,102.6,62.7,100.0,103940.92,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-174,Kitchenware,Cookware Sets,3062.17,6534.9,18.6,2.325,0.34550687402713137,55.8,0.4,2026-03-31,19,0,35,27,5.0,11.6,4.9,16.5,19,0.0,0.0,0.0,8.2,0.4,1.2,1224.87,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-175,Kitchenware,Baking Tools,1819.47,4194.16,14.1,1.7625,0.06959705453537528,53.9,0.0,2026-03-31,15,0,14,8,2.0,3.5,2.5,6.0,15,0.0,0.0,0.0,8.5,0.9,3.1,1637.52,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-176,Kitchenware,Cookware Sets,1154.94,2470.85,15.1,1.8875,0.2570870475150392,53.6,0.0,2026-03-31,124,0,28,13,4.0,7.6,4.1,11.7,124,0.0,0.0,0.0,65.7,108.9,100.0,125772.97,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-177,Kitchenware,Storage Containers,809.99,2007.57,16.3,2.0375,0.21758618981911507,54.0,0.0,2026-03-31,104,0,14,7,2.0,4.1,2.8,6.9,104,0.0,0.0,0.0,51.0,87.7,100.0,71036.12,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-178,Kitchenware,Cutlery,1605.15,2746.31,11.6,1.45,0.38729833462074165,53.6,0.30000000000000004,2026-03-31,13,0,14,5,2.0,2.9,3.2,6.1,13,0.0,0.0,0.0,9.0,1.4,6.2,2247.21,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-179,Kitchenware,Cookware Sets,2238.08,4015.05,4.8999999999999995,0.6124999999999999,0.07806247497997995,53.6,0.0,2026-03-31,33,0,28,7,4.0,2.4,3.5,5.9,33,0.0,0.0,0.0,53.9,28.1,100.0,62890.05,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-180,Kitchenware,Dinnerware,2437.26,4676.47,7.6,0.95,0.3535533905932738,53.6,0.0,2026-03-31,83,0,28,9,4.0,3.8,4.5,8.3,83,0.0,0.0,0.0,87.4,75.4,100.0,183769.4,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-181,Kitchenware,Storage Containers,1323.67,2833.99,13.5,1.6875,0.1763341997458235,53.7,0.2,2026-03-31,22,0,21,13,3.0,5.1,3.4,8.5,22,0.0,0.0,0.0,13.0,8.5,31.2,11251.2,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-182,Kitchenware,Baking Tools,2434.61,5851.49,3.1999999999999997,0.39999999999999997,0.25980762113533157,53.6,0.0,2026-03-31,43,0,42,5,6.0,2.4,5.1,7.5,43,0.0,0.0,0.0,107.5,39.8,100.0,96897.48,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-183,Kitchenware,Storage Containers,1727.48,4025.33,4.3,0.5375,0.11110243021644486,53.6,0.0,2026-03-31,61,0,14,5,2.0,1.1,2.6,3.7,61,0.0,0.0,0.0,113.5,56.7,100.0,97948.12,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-184,Kitchenware,Dinnerware,3349.41,7938.04,3.5,0.4375,0.22878756522153906,53.6,0.0,2026-03-31,69,0,14,5,2.0,0.9,2.9,3.8,69,0.0,0.0,0.0,157.7,65.5,100.0,219386.36,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-185,Kitchenware,Storage Containers,3934.09,8093.36,3.4,0.425,0.1920286436967152,53.6,0.0,2026-03-31,54,0,28,5,4.0,1.7,3.9,5.6,54,0.0,0.0,0.0,127.1,50.6,100.0,199064.95,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-186,Kitchenware,Baking Tools,3504.07,7014.34,19.9,2.4875,0.3333072906493347,59.3,2.7,2026-03-31,116,0,14,9,2.0,5.0,3.1,8.1,116,0.0,0.0,0.0,46.6,96.1,100.0,336741.13,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-187,Kitchenware,Cutlery,4419.25,8357.0,16.7,2.0875,0.1536025715930564,54.2,0.4,2026-03-31,68,0,28,16,4.0,8.4,3.8,12.2,68,0.0,0.0,0.0,32.6,51.3,100.0,226707.52,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-188,Kitchenware,Storage Containers,483.32,1109.59,12.5,1.5625,0.4090767042988393,54.9,0.0,2026-03-31,70,0,21,8,3.0,4.7,4.0,8.7,70,0.0,0.0,0.0,44.8,57.5,100.0,27790.9,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-189,Kitchenware,Storage Containers,1921.53,4286.84,5.0,0.625,0.0968245836551854,53.6,0.0,2026-03-31,61,0,14,5,2.0,1.2,2.6,3.8,61,0.0,0.0,0.0,97.6,56.0,100.0,107605.68,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-190,Kitchenware,Cutlery,2380.38,4117.14,17.5,2.1875,0.2146945504664708,53.6,0.0,2026-03-31,66,0,14,6,2.0,4.4,2.8,7.2,66,0.0,0.0,0.0,30.2,48.5,100.0,115448.43,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-191,Kitchenware,Dinnerware,3952.74,9484.02,8.2,1.025,0.4575751304430782,53.6,0.0,2026-03-31,105,0,28,11,4.0,4.1,4.8,8.9,105,0.0,0.0,0.0,102.4,96.8,100.0,382625.23,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-192,Kitchenware,Storage Containers,364.46,661.61,4.2,0.525,0.10897247358851682,53.6,0.0,2026-03-31,59,0,14,5,2.0,1.0,2.6,3.6,59,0.0,0.0,0.0,112.4,54.8,100.0,19972.41,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-193,Kitchenware,Cutlery,614.28,1428.34,14.799999999999999,1.8499999999999999,0.25495097567963926,53.6,0.0,2026-03-31,103,0,35,13,5.0,9.2,4.6,13.8,103,0.0,0.0,0.0,55.7,88.2,100.0,54179.5,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-194,Kitchenware,Storage Containers,3029.31,7214.04,15.4,1.925,0.17853571071357127,54.1,0.0,2026-03-31,69,0,42,15,6.0,11.6,4.7,16.3,69,0.0,0.0,0.0,35.8,53.6,100.0,162371.02,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-195,Kitchenware,Baking Tools,1896.04,3703.59,16.1,2.0125,0.15360257159305643,54.0,0.0,2026-03-31,15,0,28,14,4.0,8.0,3.8,11.8,15,0.0,0.0,0.0,7.5,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-196,Kitchenware,Storage Containers,3964.01,6852.66,16.7,2.0875,0.18328597873268979,53.7,0.4,2026-03-31,9,0,28,15,4.0,8.4,3.9,12.3,9,0.0,26.8,0.0,4.3,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-KIT-197,Kitchenware,Dinnerware,4489.19,10313.52,3.5999999999999996,0.44999999999999996,0.2345207879911715,53.6,0.0,2026-03-31,7,0,21,5,3.0,1.3,3.5,4.8,7,0.0,0.0,0.0,15.6,3.4,47.5,15263.25,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-198,Kitchenware,Cookware Sets,2163.45,4879.01,8.1,1.0125,0.3479852726768764,53.6,0.0,2026-03-31,64,0,14,5,2.0,2.0,3.1,5.1,64,0.0,0.0,0.0,63.2,55.9,100.0,120936.85,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-199,Kitchenware,Cookware Sets,1532.14,3064.09,15.3,1.9125,0.18328597873268976,54.6,0.0,2026-03-31,58,0,42,22,6.0,11.5,4.8,16.3,58,0.0,0.0,0.0,30.3,42.7,100.0,65422.38,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-KIT-200,Kitchenware,Storage Containers,2676.9,6247.93,13.6,1.7,0.206155281280883,53.6,0.4,2026-03-31,9,0,21,9,3.0,5.1,3.4,8.5,9,0.0,0.0,0.0,5.3,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-SMA-101,Small Appliances,Toasters,3160.06,5767.9,50.5,6.3125,9.239918492605874,138.2,36.9,2026-03-31,410,267,42,445,6.0,37.9,41.3,79.2,677,0.0,0.0,0.0,65.0,359.5,100.0,1136041.57,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-102,Small Appliances,Electric Kettles,5036.44,10217.3,154.2,19.275,14.700318874092494,179.7,69.7,2026-03-31,241,4,14,236,2.0,38.6,36.5,75.1,245,0.0,0.0,0.0,12.5,86.8,28.1,437162.99,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-SMA-103,Small Appliances,Electric Kettles,6152.76,13134.9,37.9,4.7375,7.54684329703486,141.8,34.0,2026-03-31,193,69,28,270,4.0,19.0,28.1,47.1,262,0.0,0.0,0.0,40.7,155.1,100.0,954293.08,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-104,Small Appliances,Toasters,6390.71,12949.14,6.8,0.85,1.4396180048887968,93.1,21.5,2026-03-31,206,78,35,269,5.0,4.2,9.0,13.2,284,0.0,0.0,0.0,242.4,199.2,100.0,1273029.43,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-105,Small Appliances,Electric Kettles,6742.89,11243.58,89.10000000000001,11.137500000000001,12.628730884376308,147.8,50.7,2026-03-31,821,41,42,542,6.0,66.8,54.9,121.7,862,0.0,0.0,0.0,73.7,731.9,100.0,4935121.19,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-106,Small Appliances,Blenders,4191.83,7273.22,179.6,22.45,16.369407441932648,197.4,76.0,2026-03-31,719,54,42,757,6.0,134.7,70.0,204.7,773,0.0,0.0,0.0,32.0,539.4,100.0,2261073.1,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-107,Small Appliances,Air Fryers,3338.47,5902.83,112.8,14.1,13.167573808412847,141.3,60.6,2026-03-31,126,137,14,207,2.0,28.2,33.0,61.2,263,0.0,0.0,0.0,8.9,13.2,5.6,44067.8,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-SMA-108,Small Appliances,Coffee Makers,6031.65,10444.51,72.60000000000001,9.075000000000001,11.04770903852921,138.9,47.900000000000006,2026-03-31,196,89,14,183,2.0,18.2,28.0,46.2,285,0.0,0.0,0.0,21.6,123.4,85.0,744305.61,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-109,Small Appliances,Air Fryers,10295.49,18250.13,15.9,1.9875,3.161659967485435,96.2,23.2,2026-03-31,194,6,21,140,3.0,6.0,11.9,17.9,200,0.0,0.0,0.0,97.6,178.1,100.0,1833626.77,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-110,Small Appliances,Coffee Makers,10538.67,21455.85,103.5,12.9375,12.524070574298118,146.79999999999998,55.9,2026-03-31,715,60,35,479,5.0,64.7,49.7,114.4,775,0.0,0.0,0.0,55.3,611.5,100.0,6444396.7,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-111,Small Appliances,Blenders,4845.85,8591.65,182.7,22.8375,15.730776959514744,201.2,84.7,2026-03-31,455,5,21,394,3.0,68.5,47.7,116.2,460,0.0,0.0,0.0,19.9,272.3,74.4,1319524.96,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-112,Small Appliances,Toasters,7289.85,14683.54,17.2,2.15,4.250588194591426,123.4,24.5,2026-03-31,195,108,21,153,3.0,6.4,15.0,21.4,303,0.0,0.0,0.0,90.7,177.8,100.0,1296135.33,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-113,Small Appliances,Air Fryers,6779.94,11465.25,83.5,10.4375,12.619324219228224,154.6,45.8,2026-03-31,162,109,21,260,3.0,31.3,38.8,70.1,271,0.0,0.0,0.0,15.5,78.5,46.9,532225.29,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-114,Small Appliances,Toasters,9186.65,19184.98,157.1,19.6375,13.23007345973559,175.0,71.2,2026-03-31,1095,48,42,724,6.0,117.8,57.3,175.1,1143,0.0,0.0,0.0,55.8,937.9,100.0,8616159.04,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-115,Small Appliances,Electric Kettles,7248.06,15473.52,119.7,14.9625,13.168137444224982,144.8,58.2,2026-03-31,592,35,42,646,6.0,89.8,57.1,146.9,627,0.0,0.0,0.0,39.6,472.3,100.0,3423258.74,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-116,Small Appliances,Coffee Makers,2656.26,4781.34,122.6,15.325,14.24392414329703,169.8,62.0,2026-03-31,412,119,28,414,4.0,61.3,50.2,111.5,531,0.0,0.0,0.0,26.9,289.4,100.0,768721.64,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-117,Small Appliances,Coffee Makers,4453.59,7700.91,128.0,16.0,14.170215241837365,153.5,60.3,2026-03-31,449,8,21,312,3.0,48.0,43.2,91.2,457,0.0,0.0,0.0,28.1,321.0,100.0,1429602.39,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-118,Small Appliances,Toasters,4638.22,10045.66,60.6,7.575,9.847810670397761,140.4,40.7,2026-03-31,396,237,35,358,5.0,37.9,39.9,77.8,633,0.0,0.0,0.0,52.3,335.4,100.0,1555658.99,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-119,Small Appliances,Coffee Makers,6597.13,13354.68,21.3,2.6625,4.693862348855152,123.8,31.900000000000002,2026-03-31,123,108,21,196,3.0,8.0,16.2,24.2,231,0.0,0.0,0.0,46.2,101.7,100.0,670928.12,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-120,Small Appliances,Blenders,4087.07,6326.92,162.1,20.2625,15.377006982829917,187.3,69.4,2026-03-31,293,241,28,457,4.0,81.0,53.9,134.9,534,0.0,0.0,0.0,14.5,130.9,40.6,534997.46,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-121,Small Appliances,Coffee Makers,11486.04,18831.97,180.8,22.6,15.05132884498907,198.4,75.9,2026-03-31,411,373,42,686,6.0,135.6,64.7,200.3,784,0.0,0.0,0.0,18.2,230.2,63.7,2644086.41,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-122,Small Appliances,Air Fryers,3087.45,6078.02,167.4,20.925,15.630718953394307,191.4,72.5,2026-03-31,469,236,21,359,3.0,62.8,47.4,110.2,705,0.0,0.0,0.0,22.4,301.6,90.0,931174.92,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-123,Small Appliances,Toasters,8934.54,18198.13,177.7,22.2125,15.677566576162258,193.8,76.4,2026-03-31,411,353,28,496,4.0,88.8,54.9,143.7,764,0.0,0.0,0.0,18.5,233.3,65.6,2084428.18,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-124,Small Appliances,Coffee Makers,9733.48,15716.03,98.89999999999999,12.362499999999999,13.46216341269114,162.2,51.2,2026-03-31,213,243,28,344,4.0,49.4,47.6,97.0,456,0.0,0.0,0.0,17.2,114.1,57.5,1110590.07,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-SMA-125,Small Appliances,Coffee Makers,11274.65,21456.31,88.4,11.05,11.283173312503889,161.6,46.6,2026-03-31,263,61,21,255,3.0,33.2,35.0,68.2,324,0.0,0.0,0.0,23.8,174.6,98.8,1968553.89,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
